Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Discente,Docente,Egresso,Participante Externo,Sem categoria
2024,2O RELATÓRIO DE PROGESSO TÉCNICO-CIENTÍFICO PROJETO PIPE- FAPESP-FASE II,TÉCNICA,RELATÓRIO DE PESQUISA,0,1,0,0,0
2024,"37TH CONFERENCE ON GRAPHICS, PATTERNS AND IMAGES",TÉCNICA,ORGANIZAÇÃO DE EVENTO,0,1,0,0,0
2024,A HYBRID CNN-LSTM BASED NETWORK FOR ROLLING BEARING FAULT DETECTION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,0,0,0
2024,A METHODOLOGY FOR ESTIMATING SPECTRAL INDICES TO FLUCTUATION MEASUREMENTS OF IONOSPHERIC PARAMETERS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,1,0,0
2024,"A PARALLEL VARIABLE NEIGHBORHOOD SEARCH FOR <MATH DISPLAY='""INLINE""' ID='""D1E17243""' ALTIMG='""SI468.SVG""'> <MI>Α</MI> </MATH> -NEIGHBOR FACILITY LOCATION PROBLEMS",BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,1,2,0
2024,A PRODUÇÃO CIENTÍFICA DOS PPGS,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,0,0
2024,A STUDY ON THE IMPACT OF DATA BALANCE ON RAINFALL PREDICTION THROUGH ARTIFICIAL NEURAL NETWORKS USING SURFACE MICROWAVE RADIOMETERS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,1,0,0
2024,AI4LUC: DEEP LEARNING AND AUTOMATED MASK LABELLING TO SUPPORT LAND USE AND LAND COVER MAPPING IN THE BIOME,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,2,1,0,0
2024,APPLYING LSTM RECURRENT NEURAL NETWORKS TO PREDICT REVENUE,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,0,1,0
2024,ATUAÇÃO DO INPE NA ATIVAÇÃO DO DISASTERS CHARTER REFERENTE AOS INCÊNDIOS FLORESTAIS NA BOLÍVIA (SET-OUT/2024),TÉCNICA,RELATÓRIO DE PESQUISA,0,1,0,0,0
2024,BAYESIAN INFERENCE FOR POST-PROCESSING OF REMOTE-SENSING IMAGE CLASSIFICATION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,2,1,0
2024,BDC-LAB: AMBIENTE DE CIÊNCIA DE DADOS GEOESPACIAIS DO BRAZIL DATA CUBE,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,2,0,0,1
2024,BDC-LAB: AMBIENTE DE CIÊNCIA DE DADOS GEOESPACIAIS DO BRAZIL DATA CUBE,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,0,0
2024,BRAZIL DATA CUBE PLATFORM: EARTH OBSERVATION DATA CUBES AND SATELLITE IMAGE TIME SERIES ANALYSIS,TÉCNICA,CURSO DE CURTA DURAÇÃO,3,2,2,0,0
