Ano da Produção,Título da Produção,Glosada,ISSN,Título do Periódico,DOI,URL,Tipo,Subtipo,Idioma,Autores,Categorias
2015,A BALANCING HEURISTIC FOR SPACECRAFT EQUIPMENT LAYOUT OPTIMIZATION,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,GUSTAVO FURTADO DE OLIVEIRA ALVES ; SANDRA APARECIDA SANDRI,Discente - Mestrado ; Docente
2015,A HYBRID METHOD FOR THE PROBABILISTIC MAXIMAL COVERING LOCATION-ALLOCATION PROBLEM,Sim,0305-0548,Computers & Operations Research,,-,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,MARCOS ANTONIO PEREIRA ; LEANDRO CALLEGARI COELHO ; LUIZ ANTONIO NOGUEIRA LORENA ; LIGIA CORREA DE SOUZA,Participante Externo ; Participante Externo ; Docente ; Participante Externo
2015,A HYBRID METHOD USING Q-GRADIENT TO IDENTIFY STRUCTURAL DAMAGE,Sim,,,,[http://https://ssl4799.websiteseguro.com/swge5/PROCEEDINGS/PDF/CILAMCE2015-0872.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,REYNIER HERNANDEZ TORRES ; MARLUCE DA CRUZ SCARABELLO ; HAROLDO FRAGA DE CAMPOS VELHO ; ALINE CRISTINA SOTERRONI ; ERICA JOSIANE COELHO GOUVEA ; FERNANDO MANOEL RAMOS ; LEONARDO DAGNINO CHIWIACOWSKY,Participante Externo ; Discente - Doutorado ; Docente ; Participante Externo ; Discente - Doutorado ; Docente ; Participante Externo
2015,A MOBILE APPLICATION FOR GEOGRAPHICAL DATA GATHERING AND VALIDATION IN FIELDWORK (INVITED TALK),Sim,,,,[http://dl.acm.org/citation.cfm?doid=2804345.2804354],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,KARINE REIS FERREIRA GOMES,Docente
2015,A PROPOSAL FOR REGIME CHANGE/DURATION CLASSIFICATION IN CHAOTIC SYSTEMS,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,SANDRA APARECIDA SANDRI ; HAROLDO FRAGA DE CAMPOS VELHO ; HELOISA DE ARRUDA CAMARGO ; IVANA YOSHIE SUMIDA ; PRISCILLA DE ABREU LOPES,Docente ; Docente ; Participante Externo ; Discente - Doutorado ; Participante Externo
2015,A STUDY ON EDGE DETECTION ALGORITHMS MODIFIED BY NON-STANDARD NEIGHBOURHOOD CONFIGURATIONS FOR USE IN SAR IMAGERY,Sim,,,,-,BIBLIOGRÁFICA,LIVRO,Idioma Estrangeiro,SANDRA APARECIDA SANDRI ; GILBERTO PEDRO DA SILVA JUNIOR,Docente ; Discente - Doutorado
2015,ACHIEVING QUALITY ON SOFTWARE DESIGN THROUGH TEST-DRIVEN DEVELOPMENT,Sim,,,,-,BIBLIOGRÁFICA,LIVRO,Idioma Estrangeiro,EDUARDO MARTINS GUERRA ; MAURICIO FINAVARO ANICHE,Docente ; Participante Externo
2015,ADAPTIVE WAVELET SIMULATION FOR WEAKLY COMPRESSIBLE FLOW BOUNDED BY SOLID WALLS OF ARBITRARY SHAPE,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,MARGARETE OLIVEIRA DOMINGUES,Docente
2015,ALGORITMO HÍBRIDO COM BRKGA E CS APLICADO AO PROBLEMA DE JOB SHOP,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2015,ALGORITMOS DE CLUSTERING PARA SEPARAÇÃO DE CULTURAS AGRÍCOLAS E TIPOS DE USO E COBERTURA DA TERRA UTILIZANDO DADOS DE SENSORIAMENTO REMOTO,Sim,,,,[http://www.dsr.inpe.br/sbsr2015/files/p0903.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,ADELINE MARINHO MACIEL ; LUBIA VINHAS ; GILBERTO CAMARA NETO,Discente - Doutorado ; Docente ; Docente
2015,AN ADAPTIVE MULTIRESOLUTION METHOD FOR IDEAL MAGNETOHYDRODYNAMICS USING DIVERGENCE CLEANING WITH PARABOLIC-HYPERBOLIC CORRECTION,Sim,0168-9274,Applied Numerical Mathematics,,-,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,ANNA KARINA FONTES GOMES ; MARGARETE OLIVEIRA DOMINGUES ; Kai Schneider ; ODIM MENDES JUNIOR ; Ralf Deiterding,Discente - Doutorado ; Docente ; Participante Externo ; Participante Externo ; Participante Externo
