Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Author 1,Categoria Author 1,Author 2,Categoria Author 2
2014,8TH BRAZILIAN WORKSHOP ON SYSTEMATIC AND AUTOMATED SOFTWARE TESTING (SAST 2014),TÉCNICA,ORGANIZAÇÃO DE EVENTO,VALDIVINO ALEXANDRE DE SANTIAGO JUNIOR,Docente,WILKERSON DE LUCENA ANDRADE,Participante Externo
2014,A CLUSTERING SEARCH METAHEURISTIC FOR THE POINT-FEATURE CARTOGRAPHIC LABEL PLACEMENT PROBLEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROMULO LOUZADA RABELLO,Participante Externo,GERALDO REGIS MAURI,Participante Externo
2014,A CLUSTERING SEARCH METAHEURISTIC FOR THE POINT-FEATURE CARTOGRAPHIC LABEL PLACEMENT PROBLEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROMULO LOUZADA RABELLO,Participante Externo,GLAYDSTON MATTOS RIBEIRO,Participante Externo
2014,A CLUSTERING SEARCH METAHEURISTIC FOR THE POINT-FEATURE CARTOGRAPHIC LABEL PLACEMENT PROBLEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ROMULO LOUZADA RABELLO,Participante Externo,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2014,A CLUSTERING SEARCH METAHEURISTIC FOR THE POINT-FEATURE CARTOGRAPHIC LABEL PLACEMENT PROBLEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,GERALDO REGIS MAURI,Participante Externo,GLAYDSTON MATTOS RIBEIRO,Participante Externo
2014,A CLUSTERING SEARCH METAHEURISTIC FOR THE POINT-FEATURE CARTOGRAPHIC LABEL PLACEMENT PROBLEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,GERALDO REGIS MAURI,Participante Externo,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2014,A CLUSTERING SEARCH METAHEURISTIC FOR THE POINT-FEATURE CARTOGRAPHIC LABEL PLACEMENT PROBLEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,GLAYDSTON MATTOS RIBEIRO,Participante Externo,LUIZ ANTONIO NOGUEIRA LORENA,Docente
2014,A CONSENSUS-BASED SEMI-SUPERVISED GROWING NEURAL GAS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,VINICIUS ROSA MAXIMO,Participante Externo,MARCOS GONCALVES QUILES,Docente
2014,A CONSENSUS-BASED SEMI-SUPERVISED GROWING NEURAL GAS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,VINICIUS ROSA MAXIMO,Participante Externo,MARIA CRISTINA VASCONCELOS NASCIMENTO,Participante Externo
2014,A CONSENSUS-BASED SEMI-SUPERVISED GROWING NEURAL GAS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,MARCOS GONCALVES QUILES,Docente,MARIA CRISTINA VASCONCELOS NASCIMENTO,Participante Externo
