Estado,Sigla,Área,PIB,PALB,EEM
Acre,AC,164173.429,21374440,14,278
Alagoas,AL,27830.661,76265620,13.1,410
Amapá,AP,142470.762,20099851,7.9,159
Amazonas,AM,1559255.881,131531038,10.5,501
Bahia,BA,564760.429,352617852,11.9,1559
Ceará,CE,148894.447,194884802,10.9,984
Distrito Federal,DF,5760.784,286943782,1.8,263
Espírito Santo,ES,46074.448,186336505,4.1,431
Goiás,GO,340242.859,269627874,2.7,1063
Maranhão,MA,329651.496,124980720,15,1044
Mato Grosso,MT,903208.361,233390203,4.1,686
Mato Grosso do Sul,MS,357142.082,142203766,2.7,444
Minas Gerais,MG,586513.983,857593214,3.2,3288
Pará,PA,1245870.704,262904979,7.5,891
Paraíba,PB,56467.242,77470331,11.1,658
Paraná,PR,199298.981,549973062,2.9,2052
Pernambuco,PE,98067.877,220813522,11.7,1124
Piauí,PI,251755.481,64028303,11.6,654
Rio de Janeiro,RJ,43750.425,949300770,4.5,2324
Rio Grande do Norte,RN,52809.599,80180733,9.4,474
Rio Grande do Sul,RS,281707.151,581283677,2.5,1539
Rondônia,RO,237754.172,58170096,4.3,248
Roraima,RR,223644.53,18202579,7.8,173
Santa Catarina,SC,95730.69,428570889,1.8,1027
São Paulo,SP,248219.485,2719751231,2.9,6480
Sergipe,SE,21938.188,51861397,8.9,304
Tocantins,TO,277423.627,51780764,4.9,355
